ID,Name,Strength,Generic Name,Manufactured by,Unit Price
11408,Melatil,5 mg,Prochlorperazine Maleate,Gaco Pharmaceuticals Ltd.,Unit Price : ৳ 0.45
11409,Melatil,12.5 mg/ml,Prochlorperazine Maleate,Gaco Pharmaceuticals Ltd.,1 ml ampoule : ৳ 3.55
11410,Melatrin,0.01%+4%+0.05%,Fluocinolone Acetonide + Hydroquinone + Tretinoin,Ziska Pharmaceuticals Ltd.,30 gm tube : ৳ 200.00
11411,Melbit,400 mg,Bitter Melon [Korola],Drug International Ltd.,Unit Price : ৳ 3.00
11412,Melcam,15 mg,Meloxicam,Square Pharmaceuticals Ltd.,Unit Price : ৳ 4.03
11413,Melev,20 mg,Paroxetine Hydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 9.54
11414,Melit,0.5 mg+10 mg,Flupentixol + Melitracen,Ethical Drug Ltd.,Unit Price : ৳ 3.50
11415,Meliva,10 mg,Escitalopram Oxalate,Jayson Pharmaceuticals Ltd.,Unit Price : ৳ 8.06
11416,Melixol,0.5 mg+10 mg,Flupentixol + Melitracen,Square Pharmaceuticals Ltd.,Unit Price : ৳ 5.02
11417,Melizin,50 mg,Meclizine Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 2.50
11418,Meloderm,0.10%,Mometasone Furoate (Topical),ACI Limited,5 gm tube : ৳ 100.30
11419,Melonin,3 mg,Melatonin,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
11420,Melphin,50 mg/ml,Pyrantel Pamoate,Beximco Pharmaceuticals Ltd.,10 ml bottle : ৳ 16.10
11421,Melphin,125 mg,Pyrantel Pamoate,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 1.66
11422,Melpred,16 mg,Methylprednisolone,Pharmasia Limited,Unit Price : ৳ 20.00
11423,Melpred,4 mg,Methylprednisolone,Pharmasia Limited,Unit Price : ৳ 5.00
11424,Melpred,2 mg,Methylprednisolone,Pharmasia Limited,Unit Price : ৳ 3.00
11425,Melpred,1 gm/vial,Methylprednisolone Sodium Succcinate,Pharmasia Limited,"1 gm vial : ৳ 1,000.00"
11426,Melpred,8 mg,Methylprednisolone,Pharmasia Limited,Unit Price : ৳ 10.00
11427,Melpred,500 mg/vial,Methylprednisolone Sodium Succcinate,Pharmasia Limited,500 mg vial : ৳ 600.00
11428,Meltix,0.5 mg+10 mg,Flupentixol + Melitracen,Navana Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
11429,Melxit,0.5 mg+10 mg,Flupentixol + Melitracen,Ziska Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
11430,Memanto,5 mg,Memantine Hydrochloride,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
11431,Memanto,10 mg,Memantine Hydrochloride,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 18.00
11432,Memopil,500 mg/5 ml,Piracetam,ACI Limited,100 ml bottle : ৳ 151.02
11433,Memopil,800 mg,Piracetam,ACI Limited,Unit Price : ৳ 6.04
11434,Menactra,0.5 ml/vial,Polysaccharide Diphtheria Toxoid Conjugate Vaccine,Sanofi Bangladesh Ltd.,"0.5 ml vial : ৳ 3,804.00"
11435,Menaquin,200 mcg,Menaquinone-7,Radiant Pharmaceuticals Ltd.,Unit Price : ৳ 25.00
11436,Menaril,8 mg,Betahistine Dihydrochloride,Incepta Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
11437,Menaril,16 mg,Betahistine Dihydrochloride,Incepta Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
11438,Mendil,(14 mg+2 mg)/5 ml,Diphenhydramine + Levomenthol,Globe Pharmaceuticals Ltd.,100 ml bottle : ৳ 45.00
11439,Menem,500 mg/vial,Meropenem Trihydrate,Astra Biopharmaceuticals Ltd.,500 mg vial : ৳ 700.00
11440,Menem,1 gm/vial,Meropenem Trihydrate,Astra Biopharmaceuticals Ltd.,"1 gm vial : ৳ 1,300.00"
11441,Menida,200 mg/5 ml,Metronidazole,Oyster Pharmaceuticals Ltd.,60 ml bottle : ৳ 25.00
11442,Menida,400 mg,Metronidazole,Oyster Pharmaceuticals Ltd.,Unit Price : ৳ 1.00
11443,Menilet,400 mg,Metronidazole,Alco Pharma Ltd.,Unit Price : ৳ 1.57
11444,Menocare,40 mg,Black Cohosh [Cimicifuga Racemosa],ACME Laboratories Ltd.,Unit Price : ৳ 5.00
11445,Menofactor,75 IU/vial,Human Menopausal Gonadotrophin,ZAS Corporation,75 IU vial : ৳ 895.00
11446,Menofemin,40 mg,Black Cohosh [Cimicifuga Racemosa],Radiant Pharmaceuticals Ltd.,Unit Price : ৳ 12.00
11447,Menogia,5 mg,Norethisterone Acetate,ACI Limited,Unit Price : ৳ 6.00
11448,Menol,400 mg,Metronidazole,Supreme Pharmaceutical Ltd.,Unit Price : ৳ 1.14
11449,Menol,200 mg/5 ml,Metronidazole,Supreme Pharmaceutical Ltd.,60 ml bottle : ৳ 25.75
11450,Menopa,40 mg,Black Cohosh [Cimicifuga Racemosa],Kemiko Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
11451,Menoral,5 mg,Norethisterone Acetate,Square Pharmaceuticals Ltd.,Unit Price : ৳ 6.50
11452,Menorest,2.5 mg,Tibolone,Renata Limited,Unit Price : ৳ 20.07
11453,Menotox,,Ashokarista,ACME Laboratories Ltd.,200 ml bottle : ৳ 70.00
11454,Mensil N,5 mg,Norethisterone Acetate,Healthcare Pharmaceuticals Ltd.,Unit Price : ৳ 7.50
11455,Meoral,5%+1%,Rhubarb Extract + Salicylic Acid,Opsonin Pharma Ltd.,6 ml pack : ৳ 60.18
11456,Mepcort,4 mg,Methylprednisolone,Globe Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
11457,Mepcort,500 mg/vial,Methylprednisolone Sodium Succcinate,Globe Pharmaceuticals Ltd.,500 mg vial : ৳ 600.00
11458,Mepcort,16 mg,Methylprednisolone,Globe Pharmaceuticals Ltd.,Unit Price : ৳ 18.00
11459,Mepcort,8 mg,Methylprednisolone,Globe Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
11460,Mepcort,1 gm/vial,Methylprednisolone Sodium Succcinate,Globe Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,000.00"
11461,Mepen,1 gm/vial,Meropenem Trihydrate,Biopharma Laboratories Ltd.,"1 gm vial : ৳ 1,200.00"
11462,Mepen,500 mg/vial,Meropenem Trihydrate,Biopharma Laboratories Ltd.,500 mg vial : ৳ 650.00
11463,Mepra,20 mg,Omeprazole,Marksman Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
11464,Meradexon,5 mg/ml,Dexamethasone Sodium Phosphate,Gaco Pharmaceuticals Ltd.,1 ml ampoule : ৳ 9.84
11465,Meradexon,0.10%,Dexamethasone Sodium Phosphate (E/E),Gaco Pharmaceuticals Ltd.,5 ml drop : ৳ 50.16
11466,Mercazole,5 mg,Carbimazole,Renata Limited,Unit Price : ৳ 3.00
11467,Merin,10 mg,Domperidone Maleate,Edruc Ltd.,Unit Price : ৳ 2.00
11468,Merin,5 mg/5 ml,Domperidone Maleate,Edruc Ltd.,100 ml bottle : ৳ 38.00
11469,Merison,6 mg,Betahistine Mesylate,Square Pharmaceuticals Ltd.,Unit Price : ৳ 2.01
11470,Merivit,,Iron Polymaltose Complex + Folic Acid + Zinc + Vitamin B-Complex,Sharif Pharmaceuticals Ltd.,Unit Price : ৳ 3.51
11471,Merobac,1 gm/vial,Meropenem Trihydrate,Popular Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,204.53"
11472,Merobac,500 mg/vial,Meropenem Trihydrate,Popular Pharmaceuticals Ltd.,500 mg vial : ৳ 652.44
11473,Merocar,500 mg/vial,Meropenem Trihydrate,Globe Pharmaceuticals Ltd.,500 mg vial : ৳ 650.00
11474,Merocar,1 gm/vial,Meropenem Trihydrate,Globe Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,200.00"
11475,Merocef,500 mg,Cefuroxime Axetil,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 46.00
11476,Merocef,250 mg,Cefuroxime Axetil,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 26.00
11477,Merocef,125 mg/5 ml,Cefuroxime Axetil,Ibn Sina Pharmaceuticals Ltd.,70 ml bottle : ৳ 200.00
11478,Merocef,750 mg/vial,Cefuroxime Axetil,Ibn Sina Pharmaceuticals Ltd.,750 mg vial : ৳ 130.00
11479,Merocil,500 mg/vial,Meropenem Trihydrate,Pharmacil Limited,500 mg vial : ৳ 852.56
11480,Merocil,1 gm/vial,Meropenem Trihydrate,Pharmacil Limited,"1 gm vial : ৳ 1,594.78"
11481,Meroclav,(125 mg+31.25 mg)/5 ml,Cefuroxime Axetil + Clavulanic Acid,Ibn Sina Pharmaceuticals Ltd.,70 ml bottle : ৳ 250.00
11482,Meroclav,250 mg+62.5 mg,Cefuroxime Axetil + Clavulanic Acid,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
11483,Meroclav,500 mg+125 mg,Cefuroxime Axetil + Clavulanic Acid,Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 50.00
11484,Merocon,1 gm/vial,Meropenem Trihydrate,Beacon Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,303.91"
11485,Merocon,500 mg/vial,Meropenem Trihydrate,Beacon Pharmaceuticals Ltd.,500 mg vial : ৳ 702.11
11486,Merogit,500 mg/vial,Meropenem Trihydrate,Ziska Pharmaceuticals Ltd.,500 mg vial : ৳ 700.00
11487,Merogit,250 mg/vial,Meropenem Trihydrate,Ziska Pharmaceuticals Ltd.,250 mg vial : ৳ 400.00
11488,Merogit,1 gm/vial,Meropenem Trihydrate,Ziska Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,300.00"
11489,Meroject,500 mg/vial,Meropenem Trihydrate,Eskayef Pharmaceuticals Ltd.,500 mg vial : ৳ 700.00
11490,Meroject,1 gm/vial,Meropenem Trihydrate,Eskayef Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,300.00"
11491,Merolab,1 gm/vial,Meropenem Trihydrate,Labaid Pharma Ltd.,"1 gm vial : ৳ 1,365.00"
11492,Merolab,500 mg/vial,Meropenem Trihydrate,Labaid Pharma Ltd.,500 mg vial : ৳ 790.00
11493,Merom,1 gm/vial,Meropenem Trihydrate,Techno Drugs Ltd.,"1 gm vial : ৳ 1,300.00"
11494,Merom,500 mg/vial,Meropenem Trihydrate,Techno Drugs Ltd.,500 mg vial : ৳ 700.00
11495,Meromax,1 gm/vial,Meropenem Trihydrate,Orion Pharma Ltd.,"1 gm vial : ৳ 1,250.00"
11496,Meromax,500 mg/vial,Meropenem Trihydrate,Orion Pharma Ltd.,500 mg vial : ৳ 700.00
11497,Meronix,1 gm/vial,Meropenem Trihydrate,Novo Healthcare and Pharma Ltd.,"1 gm vial : ৳ 1,200.00"
11498,Meronix,500 mg/vial,Meropenem Trihydrate,Novo Healthcare and Pharma Ltd.,500 mg vial : ৳ 650.00
11499,Meropen,250 mg/vial,Meropenem Trihydrate,Renata Limited,250 mg vial : ৳ 400.00
11500,Meropen,1 gm/vial,Meropenem Trihydrate,Renata Limited,"1 gm vial : ৳ 1,300.00"
11501,Meropen,500 mg/vial,Meropenem Trihydrate,Renata Limited,500 mg vial : ৳ 700.00
11502,Merotic,1 gm/vial,Meropenem Trihydrate,Rangs Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,300.00"
11503,Merotrax,1 gm/vial,Meropenem Trihydrate,Ibn Sina Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,300.00"
11504,Merotrax,500 mg/vial,Meropenem Trihydrate,Ibn Sina Pharmaceuticals Ltd.,500 mg vial : ৳ 700.00
11505,Meroxin,500 mg/vial,Meropenem Trihydrate,NIPRO JMI Pharma Ltd.,500 mg vial : ৳ 650.00
11506,Meroxin,1 gm/vial,Meropenem Trihydrate,NIPRO JMI Pharma Ltd.,"1 gm vial : ৳ 1,200.00"
11507,Merozolyn,5 mg,Metolazone,D16 Pharma & Biotec,Unit Price : ৳ 25.00
11508,Mervan,100 mg,Aceclofenac,Aristopharma Ltd.,Unit Price : ৳ 5.00
11509,Mervan SR,200 mg,Aceclofenac,Aristopharma Ltd.,Unit Price : ৳ 7.00
11510,Mes-D,400 mg/4 ml,Mesna,Drug International Ltd.,400 mg vial : ৳ 190.00
11511,Mesacol,400 mg,Mesalazine [5-aminosalicylic acid],Sun Pharmaceutical Ltd.,Unit Price : ৳ 7.58
11512,Mesagut,400 mg,Mesalazine [5-aminosalicylic acid],Aristopharma Ltd.,Unit Price : ৳ 7.60
11513,Mesala,400 mg,Mesalazine [5-aminosalicylic acid],NIPRO JMI Pharma Ltd.,Unit Price : ৳ 7.00
11514,Mesartin,20 mg,Olmesartan Medoxomil,The White Horse Pharma,Unit Price : ৳ 8.00
11515,Mesartin Plus,5 mg+20 mg,Amlodipine Besilate + Olmesartan Medoxomil,The White Horse Pharma,Unit Price : ৳ 8.00
11516,Meslamin DR,400 mg,Mesalazine [5-aminosalicylic acid],Ibn Sina Pharmaceuticals Ltd.,Unit Price : ৳ 7.58
11517,Mesna,400 mg/4 ml,Mesna,Techno Drugs Ltd.,400 mg vial : ৳ 190.00
11518,Mesta Care,0.01%+4%+0.05%,Fluocinolone Acetonide + Hydroquinone + Tretinoin,Sharif Pharmaceuticals Ltd.,30 gm tube : ৳ 200.00
11519,Mestiza,40 mg,Black Cohosh [Cimicifuga Racemosa],Incepta Pharmaceuticals Ltd.,Unit Price : ৳ 8.00
11520,Mestrol,40 mg,Megestrol Acetate (Tablet),Drug International Ltd.,Unit Price : ৳ 35.00
11521,Mestrol,160 mg,Megestrol Acetate (Tablet),Drug International Ltd.,Unit Price : ৳ 75.00
11522,Met,850 mg,Metformin Hydrochloride,Opsonin Pharma Ltd.,Unit Price : ৳ 6.00
11523,Met,500 mg,Metformin Hydrochloride,Opsonin Pharma Ltd.,Unit Price : ৳ 4.00
11524,Met XR,750 mg,Metformin Hydrochloride,Opsonin Pharma Ltd.,Unit Price : ৳ 8.00
11525,Met XR,1000 mg,Metformin Hydrochloride,Opsonin Pharma Ltd.,Unit Price : ৳ 9.00
11526,Met XR,500 mg,Metformin Hydrochloride,Opsonin Pharma Ltd.,Unit Price : ৳ 6.00
11527,Meta Plus TR,150 mg+0.5 mg,Ferrous Sulfate + Folic Acid,Millat Pharmaceuticals Ltd.,Unit Price : ৳ 2.40
11528,Meta-Z TR,150 mg+0.5 mg+61.8 mg,Ferrous Sulfate + Folic Acid + Zinc Sulfate,Millat Pharmaceuticals Ltd.,Unit Price : ৳ 2.93
11529,Metacard MR,35 mg,Trimetazidine Dihydrochloride,Aristopharma Ltd.,Unit Price : ৳ 8.00
11530,Metadaxan,0.10%,Dexamethasone Sodium Phosphate (E/E),Incepta Pharmaceuticals Ltd.,5 ml drop : ৳ 70.00
11531,Metadaxan,5 mg/ml,Dexamethasone Sodium Phosphate,Incepta Pharmaceuticals Ltd.,1 ml ampoule : ৳ 22.00
11532,Metadaxan,0.5 mg,Dexamethasone Sodium Phosphate,Incepta Pharmaceuticals Ltd.,Unit Price : ৳ 1.00
11533,Metalone,0.10%,Fluorometholone Acetate,Incepta Pharmaceuticals Ltd.,5 ml drop : ৳ 100.00
11534,Metalone Plus,0.1%+0.025%,Fluorometholone + Tetrahydrozoline,Incepta Pharmaceuticals Ltd.,5 ml drop : ৳ 110.00
11535,Metalyse,5 mg/ml,Tenecteplase,Radiant Pharmaceuticals Ltd.,"50 mg vial : ৳ 64,500.00"
11536,Metanib,400 mg,Imatinib Mesylate,Drug International Ltd.,Unit Price : ৳ 250.00
11537,Metarin,500 mg,Metformin Hydrochloride,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
11538,Metarin,850 mg,Metformin Hydrochloride,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
11539,Metason,400 mg,Metronidazole,Jayson Pharmaceuticals Ltd.,Unit Price : ৳ 1.50
11540,Metason,200 mg/5 ml,Metronidazole,Jayson Pharmaceuticals Ltd.,60 ml bottle : ৳ 25.17
11541,Metaspray,50 mcg/spray,Mometasone Furoate (Nasal Spray),Square Pharmaceuticals Ltd.,120 metered sprays : ৳ 251.00
11542,Metaton,200 mg/5 ml,Ferrous Sulfate,Alkad Laboratories,200 ml bottle : ৳ 26.15
11543,Metavas MR,35 mg,Trimetazidine Dihydrochloride,NIPRO JMI Pharma Ltd.,Unit Price : ৳ 6.00
11544,Metazine MR,35 mg,Trimetazidine Dihydrochloride,Beximco Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
11545,Metco,400 mg,Metronidazole,Eskayef Pharmaceuticals Ltd.,Unit Price : ৳ 1.26
11546,Metco,200 mg/5 ml,Metronidazole,Eskayef Pharmaceuticals Ltd.,60 ml bottle : ৳ 29.89
11547,Metco,500 mg/100 ml,Metronidazole,Eskayef Pharmaceuticals Ltd.,100 ml bottle : ৳ 60.18
11548,Metcure,850 mg,Metformin Hydrochloride,Desh Pharmaceuticals Ltd.,Unit Price : ৳ 5.50
11549,Metcure,500 mg,Metformin Hydrochloride,Desh Pharmaceuticals Ltd.,Unit Price : ৳ 3.80
11550,Metfar,850 mg,Metformin Hydrochloride,The White Horse Pharma,Unit Price : ৳ 6.00
11551,Metfar,500 mg,Metformin Hydrochloride,The White Horse Pharma,Unit Price : ৳ 4.00
11552,Metfar SR,1000 mg,Metformin Hydrochloride,The White Horse Pharma,Unit Price : ৳ 9.00
11553,Metfar SR,500 mg,Metformin Hydrochloride,The White Horse Pharma,Unit Price : ৳ 6.00
11554,Metfen,850 mg,Metformin Hydrochloride,Doctor’s Chemical Works Ltd.,Unit Price : ৳ 2.50
11555,Metfil,400 mg,Metronidazole,Bristol Pharmaceuticals Ltd.,Unit Price : ৳ 1.00
11556,Metfo,850 mg,Metformin Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
11557,Metfo,500 mg,Metformin Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
11558,Metfo XR,1000 mg,Metformin Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 10.00
11559,Metfo XR,750 mg,Metformin Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 9.00
11560,Metfo XR,500 mg,Metformin Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 7.00
11561,Metfomin,500 mg,Metformin Hydrochloride,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 3.00
11562,Metfomin,850 mg,Metformin Hydrochloride,Astra Biopharmaceuticals Ltd.,Unit Price : ৳ 4.00
11563,Metforal,500 mg,Metformin Hydrochloride,Ziska Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
11564,Metforal,850 mg,Metformin Hydrochloride,Ziska Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
11565,Metforal SR,500 mg,Metformin Hydrochloride,Ziska Pharmaceuticals Ltd.,Unit Price : ৳ 6.00
11566,Metform,850 mg,Metformin Hydrochloride,ACI Limited,Unit Price : ৳ 6.00
11567,Metform,500 mg,Metformin Hydrochloride,ACI Limited,Unit Price : ৳ 4.00
11568,Metform ER,500 mg,Metformin Hydrochloride,ACI Limited,Unit Price : ৳ 6.00
11569,Metfosil,500 mg,Metformin Hydrochloride,Silco Pharmaceutical Ltd.,Unit Price : ৳ 4.00
11570,Metfosil,850 mg,Metformin Hydrochloride,Silco Pharmaceutical Ltd.,Unit Price : ৳ 6.00
11571,Metglip,2.5 mg+250 mg,Glipizide + Metformin Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 2.50
11572,Metglip DS,5 mg+500 mg,Glipizide + Metformin Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
11573,Metglip Plus,2.5 mg+500 mg,Glipizide + Metformin Hydrochloride,Pacific Pharmaceuticals Ltd.,Unit Price : ৳ 4.00
11574,Metguard,500 mg,Metformin Hydrochloride,Guardian Healthcare Ltd.,Unit Price : ৳ 3.00
11575,Meth,10 mg,Methotrexate,Drug International Ltd.,Unit Price : ৳ 12.00
11576,Meth,2.5 mg,Methotrexate,Drug International Ltd.,Unit Price : ৳ 4.00
11577,Methasol,0.10%,Betamethasone Sodium Phosphate,Gaco Pharmaceuticals Ltd.,5 ml drop : ৳ 31.80
11578,Methasol-N,0.1%+0.5%,Betamethasone + Neomycin Sulphate (E/E),Gaco Pharmaceuticals Ltd.,5 ml drop : ৳ 35.11
11579,Methasol-N,0.1%+0.5%,Betamethasone + Neomycin Sulphate (E/E),Gaco Pharmaceuticals Ltd.,5 gm tube : ৳ 12.70
11580,Metherspan,125 mcg,Methylergonovine Maleate,Opsonin Pharma Ltd.,Unit Price : ৳ 0.55
11581,Metherspan,200 mcg/ml,Methylergonovine Maleate,Opsonin Pharma Ltd.,1 ml ampoule : ৳ 3.01
11582,Methicol,500 mcg,Mecobalamin,Square Pharmaceuticals Ltd.,Unit Price : ৳ 4.03
11583,Methigic,8 mg,Methylprednisolone,Square Pharmaceuticals Ltd.,Unit Price : ৳ 10.50
11584,Methigic,16 mg,Methylprednisolone,Square Pharmaceuticals Ltd.,Unit Price : ৳ 20.50
11585,Methigic,2 mg,Methylprednisolone,Square Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
11586,Methigic,4 mg,Methylprednisolone,Square Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
11587,Methipred,4 mg,Methylprednisolone,General Pharmaceuticals Ltd.,Unit Price : ৳ 5.01
11588,Methipred,500 mg/vial,Methylprednisolone Sodium Succcinate,General Pharmaceuticals Ltd.,500 mg vial : ৳ 600.00
11589,Methipred,16 mg,Methylprednisolone,General Pharmaceuticals Ltd.,Unit Price : ৳ 20.06
11590,Methipred,8 mg,Methylprednisolone,General Pharmaceuticals Ltd.,Unit Price : ৳ 10.03
11591,Methipred,2 mg,Methylprednisolone,General Pharmaceuticals Ltd.,Unit Price : ৳ 3.01
11592,Methipred,1 gm/vial,Methylprednisolone Sodium Succcinate,General Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,000.00"
11593,Methocid,25 mg,Indomethacin (Oral),Gaco Pharmaceuticals Ltd.,Unit Price : ৳ 0.56
11594,Metholone,0.10%,Fluorometholone Acetate,Kemiko Pharmaceuticals Ltd.,5 ml drop : ৳ 110.00
11595,Methotrax,10 mg,Methotrexate,Delta Pharma Ltd.,Unit Price : ৳ 15.00
11596,Methotrax,2.5 mg,Methotrexate,Delta Pharma Ltd.,Unit Price : ৳ 5.00
11597,Methovate-N,0.1%+0.5%,Betamethasone + Neomycin Sulphate (Topical),Gaco Pharmaceuticals Ltd.,5 gm tube : ৳ 18.53
11598,Methovate-N,0.1%+0.5%,Betamethasone + Neomycin Sulphate (Topical),Gaco Pharmaceuticals Ltd.,5 gm tube : ৳ 15.39
11599,Methovate-R,0.05%+0.1%+2.5%,Betamethasone + Phenylephrine + Lignocaine,Gaco Pharmaceuticals Ltd.,15 mg tube : ৳ 30.09
11600,Methox,10 mg,Methotrexate,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 15.06
11601,Methox,2.5 mg,Methotrexate,Popular Pharmaceuticals Ltd.,Unit Price : ৳ 5.52
11602,Methsolon,4 mg,Methylprednisolone,Incepta Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
11603,Methsolon,1 gm/vial,Methylprednisolone Sodium Succcinate,Incepta Pharmaceuticals Ltd.,"1 gm vial : ৳ 1,000.00"
11604,Methsolon,500 mg/vial,Methylprednisolone Sodium Succcinate,Incepta Pharmaceuticals Ltd.,500 mg vial : ৳ 600.00
11605,Methsolon,16 mg,Methylprednisolone,Incepta Pharmaceuticals Ltd.,Unit Price : ৳ 20.00
11606,Methsolon,40 mg/ml,Methylprednisolone Acetate,Incepta Pharmaceuticals Ltd.,40 mg vial : ৳ 100.00
11607,Methyphen,10 mg,Methylphenidate Hydrochloride,General Pharmaceuticals Ltd.,Unit Price : ৳ 15.00
11608,Metin,850 mg,Metformin Hydrochloride,Supreme Pharmaceutical Ltd.,Unit Price : ৳ 4.96
11609,Metin,500 mg,Metformin Hydrochloride,Supreme Pharmaceutical Ltd.,Unit Price : ৳ 3.00
11610,Metirox,10 mg,Methimazole,Renata Limited,Unit Price : ৳ 11.00
11611,Metirox,5 mg,Methimazole,Renata Limited,Unit Price : ৳ 6.00
11612,Metle,500 mg,Metformin Hydrochloride,Legends Pharma,Unit Price : ৳ 4.00
11613,Metlife,850 mg,Metformin Hydrochloride,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 4.01
11614,Metlife,500 mg,Metformin Hydrochloride,Silva Pharmaceuticals Ltd.,Unit Price : ৳ 3.01
11615,Metmin,850 mg,Metformin Hydrochloride,Alco Pharma Ltd.,Unit Price : ৳ 5.50
11616,Metmin,500 mg,Metformin Hydrochloride,Alco Pharma Ltd.,Unit Price : ৳ 4.00
11617,Metmin XR,500 mg,Metformin Hydrochloride,Alco Pharma Ltd.,Unit Price : ৳ 6.00
11618,Metnil,500 mg,Metformin Hydrochloride,Medicon Pharmaceuticals Ltd.,Unit Price : ৳ 2.84
11619,Metnor,500 mg,Metformin Hydrochloride,Monicopharma Ltd.,Unit Price : ৳ 3.00
11620,Metocard,5 mg/5 ml,Metoprolol Tartrate,Popular Pharmaceuticals Ltd.,5 ml ampoule : ৳ 120.45
11621,Metocol,1 mg/ml,Metoclopramide Hydrochloride,Opsonin Pharma Ltd.,15 ml bottle : ৳ 10.65
11622,Metocol,5 mg/5 ml,Metoclopramide Hydrochloride,Opsonin Pharma Ltd.,100 ml bottle : ৳ 15.83
11623,Metodex,10 mg/5 ml,Dextromethorphan Hydrobromide,Ad-din Pharmaceuticals Ltd.,100 ml bottle : ৳ 30.00
11624,Metomin,500 mg,Metformin Hydrochloride,Somatec Pharmaceuticals Ltd.,Unit Price : ৳ 3.00
11625,Metomin,850 mg,Metformin Hydrochloride,Somatec Pharmaceuticals Ltd.,Unit Price : ৳ 5.00
11626,Metonid,500 mg/100 ml,Metronidazole,Popular Pharmaceuticals Ltd.,100 ml bottle : ৳ 75.00
11627,Metorax,10 mg,Methotrexate,Renata Limited,Unit Price : ৳ 15.00
11628,Metra,200 mg/5 ml,Metronidazole,Ad-din Pharmaceuticals Ltd.,60 ml bottle : ৳ 24.00
11629,Metra,400 mg,Metronidazole,Ad-din Pharmaceuticals Ltd.,Unit Price : ৳ 1.05
11630,Metrion,400 mg,Metronidazole,General Pharmaceuticals Ltd.,Unit Price : ৳ 2.01
11631,Metrion,500 mg/100 ml,Metronidazole,General Pharmaceuticals Ltd.,100 ml bottle : ৳ 80.24
11632,Metrizol,400 mg,Metronidazole,Cosmo Pharma Ltd.,Unit Price : ৳ 1.01
11633,Metro,200 mg/5 ml,Metronidazole,Ziska Pharmaceuticals Ltd.,60 ml bottle : ৳ 25.00
11634,Metro,400 mg,Metronidazole,Ziska Pharmaceuticals Ltd.,Unit Price : ৳ 1.05
11635,Metro,500 mg/100 ml,Metronidazole,Opso Saline Ltd.,100 ml bottle : ৳ 53.95
11636,Metrobac,500 mg/100 ml,Metronidazole,Ziska Pharmaceuticals Ltd.,100 ml bottle : ৳ 53.00
11637,Metrocin,25 mg,Indomethacin (Oral),Salton Pharmaceuticals Ltd.,Unit Price : ৳ 0.60
11638,Metrocon,400 mg,Metronidazole,Concord Pharmaceuticals Ltd.,Unit Price : ৳ 2.00
11639,Metrodol,200 mg/5 ml,Metronidazole,Aristopharma Ltd.,60 ml bottle : ৳ 19.98
11640,Metrodol,400 mg,Metronidazole,Aristopharma Ltd.,Unit Price : ৳ 1.00
